network,week,pct,rm
CNN,2017.712,0.18211920529801323,0.21298818827904537
CNN,2017.731,0.2422145328719723,0.22545072797578464
CNN,2017.75,0.2686084142394822,0.26745090267046595
CNN,2017.769,0.2088607594936709,0.27560587872399606
CNN,2017.788,0.3501199040767386,0.291229694896567
CNN,2017.808,0.27483443708609273,0.30938487539351966
CNN,2017.827,0.3311036789297659,0.297775144773108
CNN,2017.846,0.2814814814814815,0.2884190534871964
CNN,2017.865,0.30368098159509205,0.2783704064820276
CNN,2017.885,0.23741007194244604,0.26990479801641915
CNN,2017.904,0.2909090909090909,0.2743767094803912
CNN,2017.923,0.24761904761904763,0.27390100308898263
CNN,2017.942,0.3215686274509804,0.28763206369504324
CNN,2017.962,0.23550724637681159,0.3201150568923221
CNN,2017.981,0.3458333333333333,0.3259570772447669
