network,week,n,t,pct,rm,date
CNN,2019.808,228,812,0.28078817733990147,0.2539218405320784,2019-10-15
CNN,2019.827,205,773,0.2652005174644243,0.2372446973585235,2019-10-22
CNN,2019.846,178,802,0.22194513715710723,0.2377227585087802,2019-10-29
CNN,2019.865,149,823,0.181044957472661,0.21905982426462534,2019-11-05
CNN,2019.885,201,711,0.28270042194092826,0.22416860528739496,2019-11-12
CNN,2019.904,125,656,0.19054878048780488,0.23428958120784127,2019-11-19
CNN,2019.923,167,689,0.24238026124818576,0.22437582272114506,2019-11-26
CNN,2019.942,142,641,0.22152886115444617,0.2449868027816756,2019-12-03
CNN,2019.962,166,683,0.2430453879941435,0.23400638101490853,2019-12-10
CNN,2019.981,187,685,0.272992700729927,0.21585820827948848,2019-12-17
CNN,2020,103,519,0.19845857418111754,0.195176577844283,2019-12-24
CNN,2020.019,112,752,0.14893617021276595,0.18469180377085856,2019-12-31
CNN,2020.038,181,1129,0.16031886625332153,0.22573344498642456,2020-01-08
CNN,2020.058,250,1082,0.23105360443622922,0.2447703990737706,2020-01-15
CNN,2020.077,326,899,0.36262513904338156,0.26251829904518076,2020-01-22
CNN,2020.096,201,893,0.22508398656215006,0.25740900752516455,2020-01-29
CNN,2020.115,263,1137,0.23131046613896217,0.21841938943098582,2020-02-05
CNN,2020.135,246,1168,0.2106164383561644,0.18729886570532361,2020-02-12
CNN,2020.154,248,1200,0.20666666666666667,0.14991014762152974,2020-02-19
CNN,2020.173,117,1163,0.10060189165950129,0.1402280956108121,2020-02-26
CNN,2020.192,95,1162,0.08175559380378658,0.11854339467904172,2020-03-04
CNN,2020.212,203,1181,0.1718882303132938,0.11837000700706282,2020-03-11
CNN,2020.231,133,1109,0.11992786293958521,0.11956976401830105,2020-03-18
CNN,2020.25,109,1091,0.0999083409715857,0.10894823879050995,2020-03-25
CNN,2020.269,103,1190,0.0865546218487395,0.11391938473506803,2020-04-01
CNN,2020.288,158,1221,0.1294021294021294,0.11981964191125168,2020-04-08
CNN,2020.308,164,1173,0.13981244671781756,0.12206896008992348,2020-04-15
CNN,2020.327,145,1174,0.12350936967632027,0.11853400802555965,2020-04-22
CNN,2020.346,116,1214,0.09555189456342669,0.11667499522967782,2020-04-29
CNN,2020.365,145,1258,0.11526232114467408,0.12508048923283788,2020-05-06
CNN,2020.385,166,1254,0.13237639553429026,0.1363777007771664,2020-05-13
CNN,2020.404,195,1241,0.1571313456889605,0.14160279246270432,2020-05-20
CNN,2020.423,152,1080,0.14074074074074075,0.15656316828730296,2020-05-27
CNN,2020.442,154,1131,0.1361626878868258,0.19007320113501192,2020-06-03
CNN,2020.462,247,1285,0.19221789883268484,0.19503245095407482,2020-06-10
CNN,2020.481,343,1178,0.2911714770797963,0.20705509067068006,2020-06-17
CNN,2020.5,189,1177,0.16057774001699235,0.2153441935826822,2020-06-24
CNN,2020.519,227,1232,0.18425324675324675,0.18755545313189084,2020-07-01
CNN,2020.538,286,1269,0.22537431048069345,0.18083230220855745,2020-07-08
CNN,2020.558,218,1211,0.18001651527663087,0.18544466619592145,2020-07-15
CNN,2020.577,152,1137,0.13368513632365875,0.1783020978272199,2020-07-22
CNN,2020.596,240,1184,0.20270270270270271,0.18121463567472887,2020-07-29
CNN,2020.615,234,1189,0.1968040370058873,0.20095679623353296,2020-08-05
CNN,2020.635,230,1200,0.19166666666666668,0.21897993766431773,2020-08-12
CNN,2020.654,242,1138,0.2126537785588752,0.22914853117623105,2020-08-19
CNN,2020.673,302,1099,0.2747952684258417,0.25478592989095583,2020-08-26
CNN,2020.692,275,1158,0.2374784110535406,0.2659473027694852,2020-09-02
CNN,2020.712,351,1193,0.2942162615255658,0.286407777698423,2020-09-09
CNN,2020.731,282,1096,0.2572992700729927,0.34918316003930794,2020-09-16
CNN,2020.75,403,1130,0.3566371681415929,0.35741512471980863,2020-09-23
CNN,2020.769,492,1007,0.4885799404170804,0.37121530720156043,2020-09-30
CNN,2020.788,370,1131,0.3271441202475685,0.3496053867999145,2020-10-07
CNN,2020.808,370,1184,0.3125,0.3018405669849006,2020-10-14
CNN,2020.827,301,1114,0.27019748653500897,0.2880890941584296,2020-10-21
CNN,2020.846,324,1089,0.2975206611570248,0.28332898228235387,2020-10-28
CNN,2020.865,252,926,0.27213822894168466,0.27492390595061506,2020-11-04
CNN,2020.885,341,1162,0.29345955249569705,0.24522649311891023,2020-11-11
CNN,2020.904,282,1192,0.23657718120805368,0.223308440737858,2020-11-18
Fox News,2015.712,1,2,0.5,0.3416666666666667,2015-09-10
Fox News,2015.769,1,6,0.16666666666666666,0.26666666666666666,2015-10-01
Fox News,2015.885,1,5,0.2,0.26666666666666666,2015-11-12
Fox News,2016.019,1,5,0.2,0.35000000000000003,2015-12-31
Fox News,2016.058,3,6,0.5,0.36250000000000004,2016-01-15
Fox News,2016.077,2,4,0.5,0.375,2016-01-22
Fox News,2016.096,1,4,0.25,0.3125,2016-01-29
Fox News,2016.115,1,4,0.25,0.3125,2016-02-05
Fox News,2016.154,1,4,0.25,0.3125,2016-02-19
